,SoverK,Maturity,RFR,Correlation,Reversion Speed,Long Average Variance,Volatility of Volatility,Initial Variance,Call Price
0,1.0721127108947774,1.0826338715643595,0.05839639892265798,-0.39409833031184416,1.0623558730746316,0.35824112314143036,0.17161934143179575,0.05357967124876029,0.24609320136243298
1,0.6407915464056739,0.21573612761623448,0.06233530742450227,-0.9066244864964097,0.5353995025539724,0.1663221756685747,0.4851341102397121,0.20525780706956115,8.283357041634241e-05
2,0.7591514113177495,0.7793231262373662,0.08790900099343323,-0.27959051202130725,0.923642037445705,0.44481001957528643,0.18994266329023168,0.29585862769213056,0.13626327368465319
3,0.6037165034270984,1.0144883847308064,0.07300132110972986,-0.40706546722303105,0.7790109085530885,0.12004416996475464,0.3549938736818256,0.33247372453442864,0.06490409551482584
4,0.6065684548579502,1.0525693093391069,0.06889512313946425,-0.08617352621725649,1.2922951756263712,0.42955326235628155,0.03259531146156447,0.2564522687944326,0.10570838328654214
5,0.7492428710294963,1.1966919019928102,0.04797591860484335,-0.8701278548561735,1.6295158149337445,0.35434950494165174,0.3810006917957012,0.29291589429159975,0.15811250461780677
6,0.8974377425834749,0.546546847820048,0.04921777861545207,-0.725356225871802,1.6020378679861484,0.2402674881012501,0.028917630472174327,0.1970493432172694,0.10494338830946554
7,0.8004509137115342,0.7912320140381528,0.028179530463608212,-0.8833720667734127,0.3734964211226244,0.2316129832059196,0.3872450697831284,0.4223315987078618,0.1355205041364626
8,0.7115752594211157,1.163772518279639,0.020532638427883436,-0.433231288006831,0.8732536328828926,0.25175833183551155,0.46456421994147123,0.4467921140842654,0.13941401930981995
9,0.6620828599435994,0.8550750654303815,0.06844388155481246,-0.9458103196553601,0.34571352778764264,0.045904360503071284,0.14886191464513082,0.20668687324439766,0.04131573562266993
10,1.2189288111041194,0.8698426698321158,0.09005148105987887,-0.08817052166183315,1.3958337214100032,0.3767870023041354,0.1342365732532506,0.439779486213853,0.37667190302360415
11,1.3145602173429656,0.8035452499941769,0.06547652854040852,-0.1463524529977469,1.2546799453058193,0.09239813409433284,0.399185906477225,0.15946077334247438,0.319282280013249
12,0.9690114759498107,0.3738121708586183,0.049747009695178764,-0.5158614261260035,0.2506080526798675,0.47405096587071777,0.15229555188189303,0.47445238482396174,0.16379683763955855
13,0.8150858500626716,1.2539049113738723,0.04975457748773459,-0.22010164075457261,0.41519716286050845,0.4616318086331669,0.09384820144343509,0.3775229232060906,0.2363128100388337
14,0.9333454092254321,0.7254144133426235,0.08292963045501686,-0.2639061941054347,1.4863389937861555,0.19177996836579414,0.07652846336055064,0.32688412272411055,0.1838895266729647
15,0.9029266924588071,0.6452218421798523,0.04343637634218862,-0.5278452390187798,1.0751580793995688,0.15774451340407802,0.05309329637103899,0.24783486768253138,0.12227628254161471
16,0.8361517112896911,0.9392619984652439,0.0917628730399419,-0.07358962146371029,1.6807093742661163,0.3430026205626208,0.04522569959338485,0.18458121455983767,0.17693076371377323
17,0.899285471862972,1.190853230003369,0.02737607014353209,-0.8080647229748082,1.6385489082762765,0.21521679616407358,0.239278161968475,0.3827443420115374,0.20137052579857653
18,1.260780689199736,0.4253703965321769,0.028696728938085052,-0.44248456707122297,1.4775135188473447,0.3744074012106085,0.1381090893007949,0.2684695604583297,0.2648466932832144
19,0.8296963768979264,1.1527174695141837,0.04981568830867446,-0.6929989351686133,0.35609818894965684,0.43777532905872024,0.2365275693646245,0.3641622098911278,0.21100673096174538
20,0.9271919424639923,0.8575246422527054,0.055652719175661475,-0.7504528757870573,1.0664486486018665,0.07238439053243323,0.09026258412155946,0.12521659317385783,0.11320561722424587
21,0.6242352164048818,0.9654855384006077,0.06706783609414033,-0.12026285029093564,1.829529595749897,0.06019899746917201,0.18943528735927007,0.43561204407895027,0.06540304348453413
22,0.6399339415305008,1.2037022034020664,0.07407842151488649,-0.7131738871243128,0.06947860660884175,0.3433302925803374,0.4268275847633919,0.3727089941687118,0.1199001333228639
23,0.609037527891333,0.5431063707456447,0.08660805170940529,-0.10063891215790965,0.9630942354703769,0.0313585073410953,0.38308949680448595,0.42157448598096803,0.040650524674283886
24,1.267661266446301,1.0415401816881966,0.047748773301180936,-0.19738377522033934,1.3924776214603949,0.4084985289747532,0.37660864080515827,0.4825997927234703,0.3963429783743752
25,1.2554237324831852,1.0652485460726469,0.036872540408187215,-0.6733719854716753,0.9752473825447332,0.22681872190585384,0.4527606354786595,0.18990452407726266,0.31952773743578794
26,1.2511674335947482,0.5740183515365788,0.03747869746389597,-0.7886377557105881,1.064635745926503,0.20440254024322152,0.07318876095202936,0.39457990800449355,0.2969955474491819
27,0.8904260155892749,0.879656148688832,0.03499379207987137,-0.3801289382693941,0.25765483979537085,0.22292151196936127,0.17691106468283024,0.10782986465218941,0.09411775708537606
28,0.7497496106915744,1.2976639572212862,0.04150829703596991,-0.09958999843553651,1.31825845070265,0.36688141415712777,0.05495491379458478,0.13951749904250169,0.15336251820436392
